order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
175.0,675.0,660.0,120.0,130.0,532.0,2016-02-01 08:00:00,13.0,3.0,17.75,3.55,7.75,2.0,2
686.0,500.0,37.0,370.0,688.0,206.0,2016-02-01 08:00:00,40.5,8.5,41.75,0.0,44.25,5.0,3
173.0,203.0,779.0,81.0,744.0,605.0,2016-02-01 08:00:00,10.0,0.0,44.0,0.0,5.75,0.0,2
660.0,120.0,419.0,615.0,175.0,675.0,2016-02-01 08:00:00,21.5,4.3,6.0,0.0,14.5,2.9,1
167.0,754.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,9.75,0.0,5.5,1.0,5.5,0.0,1
660.0,120.0,173.0,203.0,173.0,203.0,2016-02-01 08:00:00,4.75,0.0,8.0,2.0,9.25,2.0,3
556.0,288.0,175.0,675.0,618.0,407.0,2016-02-01 08:00:00,8.75,0.0,12.5,2.0,9.0,0.0,2
64.0,231.0,109.0,708.0,754.0,410.0,2016-02-01 08:00:00,5.75,0.0,18.5,0.0,6.0,0.0,2
173.0,203.0,18.0,610.0,18.0,610.0,2016-02-01 08:00:00,10.75,2.15,4.5,0.0,8.75,0.0,1
767.0,733.0,166.0,725.0,225.0,6.0,2016-02-01 08:00:00,6.75,0.0,20.0,0.0,27.0,5.4,3
411.0,545.0,294.0,113.0,411.0,545.0,2016-02-01 08:00:00,5.75,0.0,8.25,0.0,5.0,0.0,2
599.0,346.0,18.0,610.0,95.0,781.0,2016-02-01 08:00:00,7.0,0.0,6.0,0.0,3.25,0.65,1
395.0,408.0,695.0,366.0,167.0,754.0,2016-02-01 08:00:00,5.5,0.0,7.5,0.0,8.25,0.0,3
686.0,500.0,225.0,6.0,294.0,113.0,2016-02-01 08:00:00,7.5,1.0,3.25,0.0,8.25,0.0,1
686.0,500.0,454.0,453.0,686.0,500.0,2016-02-01 08:00:00,17.5,2.25,11.25,0.0,41.75,8.75,3
599.0,346.0,744.0,605.0,686.0,500.0,2016-02-01 08:00:00,50.25,0.0,6.5,2.0,15.75,3.15,1
225.0,6.0,18.0,610.0,599.0,346.0,2016-02-01 08:00:00,48.75,10.55,19.0,3.8,11.25,0.0,1
225.0,6.0,744.0,605.0,395.0,408.0,2016-02-01 08:00:00,45.5,5.0,4.25,2.0,6.75,0.0,1
411.0,545.0,411.0,545.0,599.0,346.0,2016-02-01 08:00:00,7.75,0.0,7.0,0.0,9.25,0.0,3
167.0,754.0,684.0,503.0,688.0,206.0,2016-02-01 08:00:00,8.75,0.0,13.25,0.0,6.0,0.0,2
109.0,708.0,218.0,437.0,660.0,120.0,2016-02-01 08:00:00,16.5,0.0,11.25,2.0,44.0,0.0,3
433.0,757.0,411.0,545.0,170.0,351.0,2016-02-01 08:00:00,32.0,7.0,5.25,0.0,7.25,2.0,1
419.0,615.0,686.0,500.0,744.0,605.0,2016-02-01 08:00:00,7.0,2.0,15.5,0.0,4.75,0.0,2
158.0,270.0,167.0,754.0,385.0,478.0,2016-02-01 08:00:00,8.25,2.0,8.25,1.0,66.0,0.0,3
716.0,107.0,575.0,547.0,779.0,81.0,2016-02-01 08:00:00,3.25,0.0,12.5,0.0,43.0,5.0,3
411.0,545.0,175.0,675.0,173.0,203.0,2016-02-01 08:00:00,9.25,0.0,11.5,0.0,13.75,2.0,3
225.0,6.0,556.0,288.0,199.0,510.0,2016-02-01 08:00:00,46.0,0.0,23.0,0.0,8.5,0.0,1
210.0,470.0,556.0,288.0,173.0,203.0,2016-02-01 08:00:00,5.0,0.0,27.5,0.0,10.25,0.0,2
605.0,347.0,18.0,610.0,744.0,605.0,2016-02-01 08:00:00,4.75,0.0,6.25,0.0,7.25,1.0,3
173.0,203.0,695.0,366.0,575.0,547.0,2016-02-01 08:00:00,14.75,3.0,5.5,0.0,5.75,0.0,1
474.0,204.0,166.0,725.0,419.0,615.0,2016-02-01 08:00:00,8.5,2.0,21.25,0.0,6.0,0.0,2
686.0,500.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,11.5,0.0,4.5,0.0,6.25,1.5,1
395.0,408.0,411.0,545.0,158.0,270.0,2016-02-01 08:00:00,7.25,0.0,7.5,0.0,19.0,0.0,3
728.0,277.0,395.0,408.0,173.0,203.0,2016-02-01 08:00:00,8.75,2.0,6.5,0.0,9.25,0.0,1
514.0,728.0,385.0,478.0,18.0,610.0,2016-02-01 08:00:00,5.0,0.0,28.0,5.0,5.5,0.0,2
395.0,408.0,556.0,288.0,686.0,500.0,2016-02-01 08:00:00,9.75,3.0,14.75,0.0,9.75,0.0,2
744.0,605.0,599.0,346.0,109.0,708.0,2016-02-01 08:00:00,6.5,0.0,26.5,0.0,36.75,0.0,3
744.0,605.0,697.0,693.0,385.0,478.0,2016-02-01 08:00:00,5.0,0.0,38.5,7.9,10.25,2.0,2
395.0,408.0,199.0,510.0,433.0,757.0,2016-02-01 08:00:00,7.25,2.0,7.25,2.0,34.75,7.75,3
728.0,277.0,411.0,545.0,686.0,500.0,2016-02-01 08:00:00,8.0,0.0,5.5,2.0,3.25,0.0,1
474.0,204.0,697.0,693.0,18.0,610.0,2016-02-01 08:00:00,8.0,0.0,8.5,0.0,8.75,0.0,3
18.0,610.0,618.0,407.0,294.0,113.0,2016-02-01 08:00:00,5.25,0.0,8.25,1.0,8.5,1.0,3
18.0,610.0,526.0,511.0,419.0,615.0,2016-02-01 08:00:00,10.75,0.0,9.25,2.08,4.75,0.0,2
18.0,610.0,744.0,605.0,158.0,270.0,2016-02-01 08:00:00,8.0,0.0,4.75,1.25,3.25,0.0,1
167.0,754.0,411.0,545.0,474.0,204.0,2016-02-01 08:00:00,7.5,2.0,4.75,0.0,6.25,0.0,1
744.0,605.0,199.0,510.0,170.0,351.0,2016-02-01 08:00:00,4.75,0.0,8.0,2.0,7.25,2.0,2
681.0,196.0,395.0,408.0,686.0,500.0,2016-02-01 08:00:00,7.0,0.0,6.75,1.0,18.5,0.0,3
686.0,500.0,754.0,410.0,419.0,615.0,2016-02-01 08:00:00,3.25,0.0,7.5,0.0,7.5,1.0,3
225.0,6.0,210.0,470.0,294.0,113.0,2016-02-01 08:00:00,46.0,12.5,5.25,0.0,46.0,9.2,1
433.0,757.0,395.0,408.0,411.0,545.0,2016-02-01 08:00:00,33.0,7.4,7.5,2.0,44.25,8.85,3
166.0,725.0,199.0,510.0,37.0,370.0,2016-02-01 08:00:00,18.75,0.0,10.75,0.0,9.0,0.0,1
225.0,6.0,395.0,408.0,599.0,346.0,2016-02-01 08:00:00,49.0,7.95,7.25,2.0,23.0,0.0,1
399.0,780.0,681.0,196.0,395.0,408.0,2016-02-01 08:00:00,7.25,0.0,9.5,0.0,5.5,2.0,2
161.0,649.0,527.0,24.0,700.0,659.0,2016-02-01 08:00:00,8.25,0.0,10.75,2.65,5.5,0.0,2
45.0,163.0,411.0,545.0,684.0,503.0,2016-02-01 08:00:00,6.75,2.0,5.75,2.0,34.25,8.55,3
385.0,478.0,18.0,610.0,642.0,32.0,2016-02-01 08:00:00,7.25,3.0,5.0,0.0,11.75,0.0,3
599.0,346.0,419.0,615.0,207.0,239.0,2016-02-01 08:00:00,9.75,0.0,5.75,0.0,4.0,0.0,1
18.0,610.0,167.0,754.0,778.0,172.0,2016-02-01 08:00:00,4.5,0.0,3.5,0.0,18.75,0.0,3
225.0,6.0,225.0,6.0,716.0,107.0,2016-02-01 08:00:00,44.0,12.0,48.0,15.6,14.75,0.0,2
18.0,610.0,173.0,203.0,744.0,605.0,2016-02-01 08:00:00,5.25,0.0,7.0,0.0,5.5,0.0,2
411.0,545.0,18.0,610.0,225.0,6.0,2016-02-01 08:00:00,6.0,0.0,5.75,0.0,47.5,12.88,3
599.0,346.0,454.0,453.0,695.0,366.0,2016-02-01 08:00:00,11.25,0.0,8.5,0.0,6.0,0.0,1
599.0,346.0,695.0,366.0,411.0,545.0,2016-02-01 08:00:00,7.25,0.0,6.75,0.0,8.0,0.0,3
18.0,610.0,526.0,511.0,95.0,781.0,2016-02-01 08:00:00,4.25,0.0,7.25,2.0,11.75,0.0,3
411.0,545.0,660.0,120.0,744.0,605.0,2016-02-01 08:00:00,5.75,0.0,7.25,0.0,88.0,25.2,3
686.0,500.0,411.0,545.0,210.0,470.0,2016-02-01 08:00:00,8.75,0.0,6.75,0.0,5.75,2.0,1
695.0,366.0,618.0,407.0,686.0,500.0,2016-02-01 08:00:00,6.25,0.0,9.0,0.0,16.5,4.12,3
210.0,470.0,599.0,346.0,158.0,270.0,2016-02-01 08:00:00,6.75,1.25,10.0,2.0,9.5,0.0,2
18.0,610.0,686.0,500.0,18.0,610.0,2016-02-01 08:00:00,8.0,0.0,10.75,0.0,5.5,0.0,2
411.0,545.0,411.0,545.0,18.0,610.0,2016-02-01 08:00:00,4.25,0.0,8.25,0.0,4.25,0.0,2
599.0,346.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,21.25,4.25,6.25,2.0,6.0,0.0,1
399.0,780.0,441.0,771.0,173.0,203.0,2016-02-01 08:00:00,3.25,0.0,14.0,0.0,37.0,7.4,3
686.0,500.0,210.0,470.0,599.0,346.0,2016-02-01 08:00:00,16.25,0.0,3.25,0.0,7.25,2.0,1
411.0,545.0,754.0,410.0,109.0,708.0,2016-02-01 08:00:00,4.5,2.0,6.75,0.0,7.25,0.0,3
744.0,605.0,433.0,757.0,744.0,605.0,2016-02-01 08:00:00,7.5,0.0,34.5,5.0,6.75,2.0,2
109.0,708.0,526.0,511.0,411.0,545.0,2016-02-01 08:00:00,17.75,0.0,6.5,0.0,7.0,2.0,1
419.0,615.0,438.0,199.0,660.0,120.0,2016-02-01 08:00:00,4.5,0.0,6.25,0.0,22.25,0.0,3
716.0,107.0,294.0,113.0,728.0,277.0,2016-02-01 08:00:00,5.0,0.0,46.0,0.0,49.25,9.85,3
225.0,6.0,556.0,288.0,474.0,204.0,2016-02-01 08:00:00,3.25,0.0,17.25,5.15,8.0,0.0,2
688.0,206.0,199.0,510.0,173.0,203.0,2016-02-01 08:00:00,8.75,0.0,6.75,0.0,14.0,0.0,3
199.0,510.0,728.0,277.0,64.0,231.0,2016-02-01 08:00:00,10.25,0.0,7.5,0.0,6.0,0.0,1
660.0,120.0,207.0,239.0,395.0,408.0,2016-02-01 08:00:00,5.75,0.0,4.75,1.0,7.0,4.0,3
575.0,547.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,19.25,0.0,6.75,0.0,5.0,0.0,1
413.0,636.0,37.0,370.0,438.0,199.0,2016-02-01 08:00:00,8.75,0.0,4.0,0.0,25.75,5.15,3
744.0,605.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,6.75,0.0,7.0,3.0,6.0,0.0,2
18.0,610.0,411.0,545.0,95.0,781.0,2016-02-01 08:00:00,44.75,0.0,7.5,3.0,3.25,0.0,1
744.0,605.0,130.0,532.0,744.0,605.0,2016-02-01 08:00:00,5.0,1.0,6.25,0.0,5.75,0.0,2
395.0,408.0,411.0,545.0,385.0,478.0,2016-02-01 08:00:00,4.25,0.0,7.5,0.0,9.25,2.0,3
395.0,408.0,474.0,204.0,395.0,408.0,2016-02-01 08:00:00,5.5,2.0,8.5,0.0,8.5,2.0,3
744.0,605.0,395.0,408.0,688.0,206.0,2016-02-01 08:00:00,5.75,0.0,7.0,0.0,8.25,0.0,3
744.0,605.0,18.0,610.0,167.0,754.0,2016-02-01 08:00:00,5.0,0.0,6.25,2.0,6.75,1.0,2
411.0,545.0,45.0,163.0,688.0,206.0,2016-02-01 08:00:00,9.25,2.0,9.75,0.0,45.25,11.8,3
385.0,478.0,556.0,288.0,199.0,510.0,2016-02-01 08:00:00,21.25,4.25,10.5,0.0,37.25,0.0,3
618.0,407.0,210.0,470.0,210.0,470.0,2016-02-01 08:00:00,8.0,0.0,7.25,3.0,11.25,0.0,3
583.0,195.0,173.0,203.0,556.0,288.0,2016-02-01 08:00:00,25.75,0.0,13.25,2.65,12.75,1.91,1
225.0,6.0,385.0,478.0,599.0,346.0,2016-02-01 08:00:00,51.75,8.36,7.5,0.0,33.5,0.0,1
411.0,545.0,744.0,605.0,395.0,408.0,2016-02-01 08:00:00,7.5,2.0,6.0,1.0,8.0,2.0,3
218.0,437.0,599.0,346.0,225.0,6.0,2016-02-01 08:00:00,42.75,0.0,10.5,1.0,44.75,0.0,3
395.0,408.0,225.0,6.0,688.0,206.0,2016-02-01 08:00:00,6.75,2.0,3.25,0.0,5.25,1.0,1
728.0,277.0,744.0,605.0,199.0,510.0,2016-02-01 08:00:00,13.75,0.0,6.25,0.0,10.25,0.0,1
744.0,605.0,686.0,500.0,688.0,206.0,2016-02-01 08:00:00,5.25,0.0,12.25,0.0,7.5,0.0,2
64.0,231.0,744.0,605.0,748.0,242.0,2016-02-01 08:00:00,3.25,0.0,16.75,3.35,46.5,0.0,3
599.0,346.0,294.0,113.0,413.0,636.0,2016-02-01 08:00:00,6.25,3.0,45.25,10.0,8.75,2.0,2
395.0,408.0,210.0,470.0,199.0,510.0,2016-02-01 08:00:00,7.75,0.0,7.25,0.0,8.5,0.0,3
411.0,545.0,604.0,668.0,411.0,545.0,2016-02-01 08:00:00,6.75,1.0,36.0,9.0,4.0,0.0,2
170.0,351.0,413.0,636.0,294.0,113.0,2016-02-01 08:00:00,5.0,0.0,8.25,0.0,4.5,0.0,2
376.0,92.0,18.0,610.0,167.0,754.0,2016-02-01 08:00:00,3.25,0.0,5.75,0.0,26.25,6.8,3
605.0,347.0,95.0,781.0,395.0,408.0,2016-02-01 08:00:00,8.25,3.0,5.25,0.0,6.0,0.0,1
109.0,708.0,599.0,346.0,767.0,733.0,2016-02-01 08:00:00,7.5,0.0,6.5,0.0,8.25,0.0,3
688.0,206.0,130.0,532.0,618.0,407.0,2016-02-01 08:00:00,11.75,2.0,5.75,0.0,6.0,0.0,1
18.0,610.0,681.0,196.0,218.0,437.0,2016-02-01 08:00:00,5.0,0.0,7.5,0.0,4.5,0.0,2
158.0,270.0,700.0,659.0,158.0,270.0,2016-02-01 08:00:00,8.75,0.0,3.25,2.0,6.25,0.0,1
395.0,408.0,744.0,605.0,210.0,470.0,2016-02-01 08:00:00,4.75,0.0,6.75,2.0,97.25,0.0,3
642.0,32.0,18.0,610.0,686.0,500.0,2016-02-01 08:00:00,14.25,0.0,4.25,0.0,7.25,0.0,1
18.0,610.0,744.0,605.0,599.0,346.0,2016-02-01 08:00:00,4.5,0.0,7.0,2.0,6.75,0.0,2
411.0,545.0,225.0,6.0,686.0,500.0,2016-02-01 08:00:00,8.75,1.0,42.75,0.0,16.5,1.0,2
395.0,408.0,728.0,277.0,684.0,503.0,2016-02-01 08:00:00,6.0,0.0,8.25,0.0,3.25,0.0,2
744.0,605.0,474.0,204.0,779.0,81.0,2016-02-01 08:00:00,47.5,0.0,8.75,0.0,6.5,0.0,1
18.0,610.0,688.0,206.0,395.0,408.0,2016-02-01 08:00:00,6.5,0.0,9.0,0.0,8.5,0.0,2
399.0,780.0,170.0,351.0,395.0,408.0,2016-02-01 08:00:00,5.5,0.0,44.5,9.3,5.25,2.0,2
744.0,605.0,419.0,615.0,395.0,408.0,2016-02-01 08:00:00,4.75,2.0,7.0,0.0,6.5,1.0,3
395.0,408.0,660.0,120.0,173.0,203.0,2016-02-01 08:00:00,3.25,0.0,19.0,0.0,11.75,2.0,2
18.0,610.0,37.0,370.0,18.0,610.0,2016-02-01 08:00:00,4.75,0.0,3.75,0.0,5.0,0.0,3
158.0,270.0,395.0,408.0,599.0,346.0,2016-02-01 08:00:00,12.44,0.0,5.25,1.0,18.25,0.0,3
199.0,510.0,556.0,288.0,395.0,408.0,2016-02-01 08:00:00,5.25,0.0,40.5,0.0,6.0,3.0,2
411.0,545.0,575.0,547.0,688.0,206.0,2016-02-01 08:00:00,6.5,0.0,55.25,0.0,5.25,0.0,2
556.0,288.0,779.0,81.0,744.0,605.0,2016-02-01 08:00:00,17.25,3.45,7.75,0.0,6.25,1.5,1
767.0,733.0,225.0,6.0,411.0,545.0,2016-02-01 08:00:00,28.25,7.06,49.5,13.35,4.75,0.0,2
419.0,615.0,411.0,545.0,744.0,605.0,2016-02-01 08:00:00,7.0,2.0,9.0,2.0,4.75,0.0,2
697.0,693.0,695.0,366.0,161.0,649.0,2016-02-01 08:00:00,35.25,7.05,8.75,1.5,6.0,1.0,1
575.0,547.0,433.0,757.0,385.0,478.0,2016-02-01 08:00:00,13.75,0.0,37.25,0.0,5.75,0.0,2
294.0,113.0,18.0,610.0,744.0,605.0,2016-02-01 08:00:00,45.75,9.15,7.25,2.0,6.0,0.0,1
411.0,545.0,385.0,478.0,199.0,510.0,2016-02-01 08:00:00,5.5,0.0,46.75,0.0,8.25,2.0,2
385.0,478.0,744.0,605.0,225.0,6.0,2016-02-01 08:00:00,6.5,2.0,4.75,0.0,19.5,0.0,3
181.0,726.0,411.0,545.0,225.0,6.0,2016-02-01 08:00:00,20.0,0.0,5.0,0.0,47.25,10.25,3
660.0,120.0,660.0,120.0,109.0,708.0,2016-02-01 08:00:00,24.5,0.0,3.5,0.0,34.75,0.0,3
744.0,605.0,18.0,610.0,411.0,545.0,2016-02-01 08:00:00,4.25,0.0,4.25,0.0,6.5,2.0,3
744.0,605.0,395.0,408.0,167.0,754.0,2016-02-01 08:00:00,6.5,2.0,5.0,0.0,46.0,0.0,3
697.0,693.0,294.0,113.0,688.0,206.0,2016-02-01 08:00:00,12.25,0.0,7.75,0.0,8.5,2.0,1
767.0,733.0,526.0,511.0,754.0,410.0,2016-02-01 08:00:00,5.0,0.0,46.5,0.0,3.25,0.0,2
744.0,605.0,433.0,757.0,207.0,239.0,2016-02-01 08:00:00,5.0,0.0,29.75,6.75,8.5,2.0,2
695.0,366.0,411.0,545.0,686.0,500.0,2016-02-01 08:00:00,3.25,0.0,4.5,0.0,17.5,3.5,3
470.0,676.0,411.0,545.0,744.0,605.0,2016-02-01 08:00:00,17.75,3.55,4.75,1.0,5.75,0.0,1
199.0,510.0,419.0,615.0,199.0,510.0,2016-02-01 08:00:00,15.25,0.0,5.0,0.0,10.0,0.0,1
599.0,346.0,18.0,610.0,744.0,605.0,2016-02-01 08:00:00,43.75,0.0,6.25,0.0,5.5,0.0,1
470.0,676.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,33.75,0.0,5.25,0.0,9.75,0.0,1
686.0,500.0,18.0,610.0,158.0,270.0,2016-02-01 08:00:00,20.25,0.0,3.75,0.0,7.75,0.0,1
599.0,346.0,64.0,231.0,744.0,605.0,2016-02-01 08:00:00,6.5,0.0,5.5,0.0,3.75,2.0,1
700.0,659.0,411.0,545.0,130.0,532.0,2016-02-01 08:00:00,3.25,6.75,4.5,3.0,9.0,0.0,1
173.0,203.0,660.0,120.0,433.0,757.0,2016-02-01 08:00:00,11.0,2.0,24.0,2.0,3.25,0.0,2
